Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Natural Resources Canada,2012-13,fleet,1,Fuels with renewable content,1743.86506,0.090224232
Natural Resources Canada,2012-13,fleet,1,Gasoline,9879.94,0.633163012
Natural Resources Canada,2012-13,fleet,1,Liquified petroleum gas,6.17564,0.000375843
Parks Canada,2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",64063.16484,4.5867856
Parks Canada,2012-13,facilities,1,Liquified petroleum gas,41556.74996,2.53510952
Parks Canada,2012-13,facilities,1,natural gas,83775.73537,4.175648911
Parks Canada,2012-13,facilities,2,electricity,165777.09,11.48669704
Parks Canada,2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",70642.22776,4.895109608
Parks Canada,2012-13,fleet,1,Fuels with renewable content,28370.12663,1.739660187
Parks Canada,2012-13,fleet,1,Gasoline,70661.54706,4.526491716
Parks Canada,2012-13,fleet,1,Liquified petroleum gas,174.626345,0.010627576
Parks Canada,2012-13,fleet,1,Natural gas,0.21696632,1.24E-05
Public Services and Procurement Canada,2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",69987.34995,4.993908327
Public Services and Procurement Canada,2012-13,facilities,1,Liquified petroleum gas,9683.393132,0.590721414
Public Services and Procurement Canada,2012-13,facilities,1,natural gas,1006242.327,50.15431565
Public Services and Procurement Canada,2012-13,facilities,2,district energy,928906.1456,65.21677881
Public Services and Procurement Canada,2012-13,facilities,2,electricity,3131475.101,76.61429987
Public Services and Procurement Canada,2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3791.06422,0.270596237
Public Services and Procurement Canada,2012-13,fleet,1,Fuels with renewable content,1677.170444,0.073863516
Public Services and Procurement Canada,2012-13,fleet,1,Gasoline,10387.3014,0.665104835
Transport Canada,2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",19504.5157,1.402233284
Transport Canada,2012-13,facilities,1,Liquified petroleum gas,2620.36961,0.159851864
Transport Canada,2012-13,facilities,1,natural gas,2854.9612,0.14230034
Transport Canada,2012-13,facilities,2,electricity,52359.69031,0.25783461
Transport Canada,2012-13,fleet,1,aviation fuel,95944.1648,6.617651284
Transport Canada,2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",548485.6567,38.7321363
Transport Canada,2012-13,fleet,1,Fuels with renewable content,2855.681978,0.173967571
Transport Canada,2012-13,fleet,1,Gasoline,15204.85995,0.974482867
Transport Canada,2012-13,fleet,1,Liquified petroleum gas,1887.6198,0.114878557
Agriculture and Agri-Food Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42152.1492,3.000843948
Agriculture and Agri-Food Canada,2013-14,facilities,1,Liquified petroleum gas,2785.49205,0.16992492
Agriculture and Agri-Food Canada,2013-14,facilities,1,natural gas,540121.8912,26.9213917
Agriculture and Agri-Food Canada,2013-14,facilities,2,district energy,81635.4,6.73488815
Agriculture and Agri-Food Canada,2013-14,facilities,2,electricity,455846.6052,37.34002912
Agriculture and Agri-Food Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",43602.27099,3.062184135
Agriculture and Agri-Food Canada,2013-14,fleet,1,Fuels with renewable content,16170.98017,0.930828925
Agriculture and Agri-Food Canada,2013-14,fleet,1,Gasoline,43037.78955,2.758349001
Agriculture and Agri-Food Canada,2013-14,fleet,1,Liquified petroleum gas,58.840688,0.003580982
Canada Border Services Agency,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",13709.31437,0.979938201
Canada Border Services Agency,2013-14,facilities,1,Liquified petroleum gas,4173.373999,0.254590654
Canada Border Services Agency,2013-14,facilities,1,natural gas,70647.02611,3.521272315
Canada Border Services Agency,2013-14,facilities,2,electricity,123563.6109,4.242521163
Canada Border Services Agency,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2907.5828,0.20778273
Canada Border Services Agency,2013-14,fleet,1,Fuels with renewable content,10693.70809,0.654776854
Canada Border Services Agency,2013-14,fleet,1,Gasoline,49525.49,3.173876402
Canada Revenue Agency,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",735.8579,0.052615838
Canada Revenue Agency,2013-14,fleet,1,Fuels with renewable content,346.52324,0.021248854
Canada Revenue Agency,2013-14,fleet,1,Gasoline,3496.01,0.224044298
Employment and Social Development Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",8.18854,0.000585503
Employment and Social Development Canada,2013-14,fleet,1,Fuels with renewable content,828.990994,0.050833845
Employment and Social Development Canada,2013-14,fleet,1,Gasoline,7912.583,0.507083533
Employment and Social Development Canada,2013-14,fleet,1,Liquified petroleum gas,0.774486,4.71E-05
Environment and Climate Change Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",19440.1608,1.4212128
Environment and Climate Change Canada,2013-14,facilities,1,Liquified petroleum gas,2359.37289,0.143930136
Environment and Climate Change Canada,2013-14,facilities,1,natural gas,191639.5575,9.551924625
Environment and Climate Change Canada,2013-14,facilities,2,electricity,108994.9284,3.587711426
Environment and Climate Change Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",8468.878898,0.60212277
Environment and Climate Change Canada,2013-14,fleet,1,Fuels with renewable content,6826.44688,0.41859869
Environment and Climate Change Canada,2013-14,fleet,1,Gasoline,39620.007,2.539784047
Environment and Climate Change Canada,2013-14,fleet,1,Liquified petroleum gas,1.5186,9.24E-05
Fisheries and Oceans Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",55329.1859,3.946469491
Fisheries and Oceans Canada,2013-14,facilities,1,Liquified petroleum gas,10461.35193,0.638179667
Fisheries and Oceans Canada,2013-14,facilities,1,natural gas,111275.5248,5.546325818
Fisheries and Oceans Canada,2013-14,facilities,2,district energy,23184,1.367856
Fisheries and Oceans Canada,2013-14,facilities,2,electricity,275618.0088,14.86104976
Fisheries and Oceans Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22881.2626,1.636072408
Fisheries and Oceans Canada,2013-14,fleet,1,Fuels with renewable content,4887.98792,0.29726726
Fisheries and Oceans Canada,2013-14,fleet,1,Gasoline,81381.58,5.215396684
Fisheries and Oceans Canada,2013-14,fleet,1,Liquified petroleum gas,51.96143,0.003162318
Health Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",134.4713,0.009615063
Health Canada,2013-14,fleet,1,Fuels with renewable content,5540.44408,0.339740816
Health Canada,2013-14,fleet,1,Gasoline,27805.82,1.781955836
"Immigration, Refugees and Citizenship Canada",2013-14,fleet,1,Gasoline,640.19011,0.04102704
Indigenous Services Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",612.77319,0.043814947
Indigenous Services Canada,2013-14,fleet,1,Fuels with renewable content,402.282202,0.005500188
Indigenous Services Canada,2013-14,fleet,1,Gasoline,6326.0869,0.405411798
Indigenous Services Canada,2013-14,fleet,1,Liquified petroleum gas,4.221708,0.000256929
"Innovation, Science and Economic Development Canada",2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3323.25653,0.237621866
"Innovation, Science and Economic Development Canada",2013-14,fleet,1,Fuels with renewable content,3180.556425,0.186982862
"Innovation, Science and Economic Development Canada",2013-14,fleet,1,Gasoline,11513.243,0.737834401
"Innovation, Science and Economic Development Canada",2013-14,fleet,1,Liquified petroleum gas,0.255631,1.56E-05
"Innovation, Science and Economic Development Canada",2013-14,fleet,1,Natural gas,0.0025612,1.46E-07
National Defence,2013-14,facilities,1,aviation fuel,374019.3732,25.44131779
National Defence,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1261592.401,91.3998584
National Defence,2013-14,facilities,1,Liquified petroleum gas,46169.67715,2.816514481
National Defence,2013-14,facilities,1,natural gas,6292621.741,313.6442671
National Defence,2013-14,facilities,2,district energy,1311,0.087405065
National Defence,2013-14,facilities,2,electricity,3347267.771,244.934327
National Defence,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",255331.1307,18.09237932
National Defence,2013-14,fleet,1,Fuels with renewable content,79566.28222,4.86012068
National Defence,2013-14,fleet,1,Gasoline,153663.23,9.847891366
National Defence,2013-14,fleet,1,Liquified petroleum gas,1748.79445,0.106429792
Natural Resources Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",19172.4861,1.365294054
Natural Resources Canada,2013-14,facilities,1,Liquified petroleum gas,3299.96842,0.201309808
Natural Resources Canada,2013-14,facilities,1,natural gas,155439.055,7.747576528
Natural Resources Canada,2013-14,facilities,2,district energy,119743,9.514287835
Natural Resources Canada,2013-14,facilities,2,electricity,184813.6932,7.065657358
Natural Resources Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5504.55383,0.392858106
Natural Resources Canada,2013-14,fleet,1,Fuels with renewable content,1116.37348,0.015263573
Natural Resources Canada,2013-14,fleet,1,Gasoline,10328.675,0.661920515
Parks Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",65962.55868,4.720146577
Parks Canada,2013-14,facilities,1,Liquified petroleum gas,46614.24993,2.843635002
Parks Canada,2013-14,facilities,1,natural gas,82999.03139,4.136935517
Parks Canada,2013-14,facilities,2,electricity,169768.4058,10.29053617
Parks Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",74750.16493,5.195050269
Parks Canada,2013-14,fleet,1,Fuels with renewable content,30308.2872,1.858508468
Parks Canada,2013-14,fleet,1,Gasoline,73138.46479,4.685570758
Parks Canada,2013-14,fleet,1,Liquified petroleum gas,152.1989009,0.009262665
Parks Canada,2013-14,fleet,1,Natural gas,0.287751124,1.64E-05
Public Services and Procurement Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",70938.48052,5.049795959
Public Services and Procurement Canada,2013-14,facilities,1,Liquified petroleum gas,10222.60964,0.623615539
Public Services and Procurement Canada,2013-14,facilities,1,natural gas,1215554.745,60.58711186
Public Services and Procurement Canada,2013-14,facilities,2,district energy,874037.1204,62.50768902
Public Services and Procurement Canada,2013-14,facilities,2,electricity,3176501.937,58.11550451
Public Services and Procurement Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4797.332759,0.341882058
Public Services and Procurement Canada,2013-14,fleet,1,Fuels with renewable content,2185.080593,0.133518627
Public Services and Procurement Canada,2013-14,fleet,1,Gasoline,9287.9171,0.594920003
Transport Canada,2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",18763.53717,1.355432876
Transport Canada,2013-14,facilities,1,Liquified petroleum gas,2815.497055,0.171755332
Transport Canada,2013-14,facilities,1,natural gas,3278.947042,0.163433142
Transport Canada,2013-14,facilities,2,electricity,52152.7932,0.249806105
Transport Canada,2013-14,fleet,1,aviation fuel,138026.0464,9.52020631
Transport Canada,2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",542509.4297,38.31070731
Transport Canada,2013-14,fleet,1,Fuels with renewable content,3142.641989,0.192054947
Transport Canada,2013-14,fleet,1,Gasoline,15024.38462,0.96293776
Transport Canada,2013-14,fleet,1,Liquified petroleum gas,1887.61209,0.114878088
Agriculture and Agri-Food Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",45312.71353,3.230888547
Agriculture and Agri-Food Canada,2014-15,facilities,1,Liquified petroleum gas,1396.620986,0.085198846
Agriculture and Agri-Food Canada,2014-15,facilities,1,natural gas,518947.2894,25.86598225
Agriculture and Agri-Food Canada,2014-15,facilities,2,district energy,50390,4.18211805
Agriculture and Agri-Food Canada,2014-15,facilities,2,electricity,427400.6487,35.41775366
Agriculture and Agri-Food Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",36849.08425,2.582923652
Agriculture and Agri-Food Canada,2014-15,fleet,1,Fuels with renewable content,18779.75426,1.085674583
Agriculture and Agri-Food Canada,2014-15,fleet,1,Gasoline,31558.3345,2.022614458
Agriculture and Agri-Food Canada,2014-15,fleet,1,Liquified petroleum gas,11.614759,0.000706862
Agriculture and Agri-Food Canada,2014-15,fleet,1,Natural gas,1.14522006,6.53E-05
Canada Border Services Agency,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9539.075241,0.683587172
Canada Border Services Agency,2014-15,facilities,1,Liquified petroleum gas,3802.189688,0.231947091
Canada Border Services Agency,2014-15,facilities,1,natural gas,62995.9126,3.139916501
Canada Border Services Agency,2014-15,facilities,2,electricity,121451.274,4.01754444
Canada Border Services Agency,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3225.845459,0.230539375
Canada Border Services Agency,2014-15,fleet,1,Fuels with renewable content,10676.96116,0.653754778
Canada Border Services Agency,2014-15,fleet,1,Gasoline,51177.29015,3.279733194
Canada Border Services Agency,2014-15,fleet,1,Liquified petroleum gas,4.730439,0.00028789
Canada Revenue Agency,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",461.9746,0.033032438
Canada Revenue Agency,2014-15,fleet,1,Fuels with renewable content,311.64744,0.019110265
Canada Revenue Agency,2014-15,fleet,1,Gasoline,3259.48,0.208886104
Employment and Social Development Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1.94564,0.000139119
Employment and Social Development Canada,2014-15,fleet,1,Fuels with renewable content,549.205814,0.033677378
Employment and Social Development Canada,2014-15,fleet,1,Gasoline,5399.9645,0.346060582
Environment and Climate Change Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",20932.3671,1.5303036
Environment and Climate Change Canada,2014-15,facilities,1,Liquified petroleum gas,1238.930164,0.075579146
Environment and Climate Change Canada,2014-15,facilities,1,natural gas,178661.0484,8.90503448
Environment and Climate Change Canada,2014-15,facilities,2,electricity,117418.7502,3.417029513
Environment and Climate Change Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9277.550551,0.659765403
Environment and Climate Change Canada,2014-15,fleet,1,Fuels with renewable content,6982.301074,0.428155692
Environment and Climate Change Canada,2014-15,fleet,1,Gasoline,35984.4765,2.306698172
Environment and Climate Change Canada,2014-15,fleet,1,Liquified petroleum gas,3.206777,0.000195161
Fisheries and Oceans Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",53163.301,3.792272795
Fisheries and Oceans Canada,2014-15,facilities,1,Liquified petroleum gas,10866.31699,0.662883976
Fisheries and Oceans Canada,2014-15,facilities,1,natural gas,105928.7092,5.279823533
Fisheries and Oceans Canada,2014-15,facilities,2,district energy,28523.82875,1.682905896
Fisheries and Oceans Canada,2014-15,facilities,2,electricity,273303.3852,14.98058702
Fisheries and Oceans Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22051.3399,1.576730681
Fisheries and Oceans Canada,2014-15,fleet,1,Fuels with renewable content,4764.73867,0.289164049
Fisheries and Oceans Canada,2014-15,fleet,1,Gasoline,75408.865,4.832630977
Fisheries and Oceans Canada,2014-15,fleet,1,Liquified petroleum gas,56.49192,0.003438039
Health Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",230.3745,0.016472402
Health Canada,2014-15,fleet,1,Fuels with renewable content,5173.808,0.31725864
Health Canada,2014-15,fleet,1,Gasoline,23630.6,1.51438388
"Immigration, Refugees and Citizenship Canada",2014-15,fleet,1,Gasoline,743.465555,0.047645521
Indigenous Services Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",67.898099,0.004837944
Indigenous Services Canada,2014-15,fleet,1,Fuels with renewable content,422.9301,0.005782496
Indigenous Services Canada,2014-15,fleet,1,Gasoline,5146.07275,0.329789748
"Innovation, Science and Economic Development Canada",2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3583.30204,0.256215826
"Innovation, Science and Economic Development Canada",2014-15,fleet,1,Fuels with renewable content,2837.184667,0.165125748
"Innovation, Science and Economic Development Canada",2014-15,fleet,1,Gasoline,10307.283,0.660549593
"Innovation, Science and Economic Development Canada",2014-15,fleet,1,Natural gas,0.0014364,8.19E-08
National Defence,2014-15,facilities,1,aviation fuel,334366.6123,22.74408186
National Defence,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1160705.569,83.93552318
National Defence,2014-15,facilities,1,Gasoline,7,0.0004648
National Defence,2014-15,facilities,1,Liquified petroleum gas,34929.73622,2.130838116
National Defence,2014-15,facilities,1,natural gas,6453502.208,321.6630609
National Defence,2014-15,facilities,2,district energy,1456.36,0.095642953
National Defence,2014-15,facilities,2,electricity,3299585.688,218.5594491
National Defence,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",251687.5808,17.83170576
National Defence,2014-15,fleet,1,Fuels with renewable content,84662.48567,5.17301736
National Defence,2014-15,fleet,1,Gasoline,149598.645,9.587258461
National Defence,2014-15,fleet,1,Liquified petroleum gas,1185.59633,0.072154147
Natural Resources Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",11209.74166,0.797971816
Natural Resources Canada,2014-15,facilities,1,Liquified petroleum gas,1944.608797,0.118628052
Natural Resources Canada,2014-15,facilities,1,natural gas,150589.3885,7.505853732
Natural Resources Canada,2014-15,facilities,2,district energy,103601.8875,8.231137302
Natural Resources Canada,2014-15,facilities,2,electricity,179730.3499,5.854970792
Natural Resources Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",6424.4803,0.458707884
Natural Resources Canada,2014-15,fleet,1,Fuels with renewable content,1140.77232,0.015597166
Natural Resources Canada,2014-15,fleet,1,Gasoline,10704.96,0.686035008
Parks Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",65789.0231,4.706586149
Parks Canada,2014-15,facilities,1,Liquified petroleum gas,42391.64187,2.586040895
Parks Canada,2014-15,facilities,1,natural gas,91550.46528,4.56316616
Parks Canada,2014-15,facilities,2,electricity,176118.8909,9.643117254
Parks Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",72217.1653,5.038388923
Parks Canada,2014-15,fleet,1,Fuels with renewable content,30717.86764,1.883623998
Parks Canada,2014-15,fleet,1,Gasoline,72340.87805,4.634460842
Parks Canada,2014-15,fleet,1,Liquified petroleum gas,405.1392617,0.02465635
Parks Canada,2014-15,fleet,1,Natural gas,0.193613154,1.10E-05
Public Services and Procurement Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",71033.3931,5.056552364
Public Services and Procurement Canada,2014-15,facilities,1,Liquified petroleum gas,9793.935999,0.597464922
Public Services and Procurement Canada,2014-15,facilities,1,natural gas,1258692.587,62.73723899
Public Services and Procurement Canada,2014-15,facilities,2,district energy,855759.9299,61.62649561
Public Services and Procurement Canada,2014-15,facilities,2,electricity,3072688.883,44.24183765
Public Services and Procurement Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1859.73832,0.132178016
Public Services and Procurement Canada,2014-15,fleet,1,Fuels with renewable content,1424.43616,0.019564283
Public Services and Procurement Canada,2014-15,fleet,1,Gasoline,11668.755,0.747813403
Public Services and Procurement Canada,2014-15,fleet,1,Liquified petroleum gas,0.02531,1.54E-06
Transport Canada,2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",24579.90934,1.770630498
Transport Canada,2014-15,facilities,1,Liquified petroleum gas,3199.953424,0.195208538
Transport Canada,2014-15,facilities,1,natural gas,2616.934262,0.130436321
Transport Canada,2014-15,facilities,2,electricity,49834.50372,0.222697866
Transport Canada,2014-15,fleet,1,aviation fuel,122033.055,8.41710598
Transport Canada,2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",556205.1164,39.27640555
Transport Canada,2014-15,fleet,1,Fuels with renewable content,3069.844081,0.187678522
Transport Canada,2014-15,fleet,1,Gasoline,14544.28395,0.932172614
Transport Canada,2014-15,fleet,1,Liquified petroleum gas,1887.6198,0.114878557
Agriculture and Agri-Food Canada,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41076.5269,2.926680692
Agriculture and Agri-Food Canada,2015-16,facilities,1,Liquified petroleum gas,846.54357,0.051642168
Agriculture and Agri-Food Canada,2015-16,facilities,1,natural gas,458735.1044,22.86481558
Agriculture and Agri-Food Canada,2015-16,facilities,2,district energy,96690,8.02478655
Agriculture and Agri-Food Canada,2015-16,facilities,2,electricity,442918.71,34.34237436
Agriculture and Agri-Food Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",32391.89277,2.271255395
Agriculture and Agri-Food Canada,2015-16,fleet,1,Fuels with renewable content,12376.28207,0.7021905
Agriculture and Agri-Food Canada,2015-16,fleet,1,Gasoline,39403.357,2.525889848
Agriculture and Agri-Food Canada,2015-16,fleet,1,Liquified petroleum gas,1.500883,9.13E-05
Agriculture and Agri-Food Canada,2015-16,fleet,1,Natural gas,1.08308284,6.18E-05
Canada Border Services Agency,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",15641.99209,1.1216972
Canada Border Services Agency,2015-16,facilities,1,Liquified petroleum gas,2764.082321,0.16861885
Canada Border Services Agency,2015-16,facilities,1,natural gas,62221.0902,3.10129689
Canada Border Services Agency,2015-16,facilities,2,electricity,126115.6032,3.901494632
Canada Border Services Agency,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3050.665935,0.217288963
Canada Border Services Agency,2015-16,fleet,1,Fuels with renewable content,10433.56622,0.63978776
Canada Border Services Agency,2015-16,fleet,1,Gasoline,50682.8665,3.248030334
Canada Revenue Agency,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",332.62784,0.023783794
Canada Revenue Agency,2015-16,fleet,1,Fuels with renewable content,261.084302,0.016009726
Canada Revenue Agency,2015-16,fleet,1,Gasoline,2918.6829,0.187045878
Employment and Social Development Canada,2015-16,fleet,1,Gasoline,5114.34455,0.327756424
Environment and Climate Change Canada,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",25597.9965,1.871394
Environment and Climate Change Canada,2015-16,facilities,1,Liquified petroleum gas,1205.912667,0.073564961
Environment and Climate Change Canada,2015-16,facilities,1,natural gas,149899.1218,7.471448649
Environment and Climate Change Canada,2015-16,facilities,2,electricity,121515.0487,3.195602327
Environment and Climate Change Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9312.91237,0.662814556
Environment and Climate Change Canada,2015-16,fleet,1,Fuels with renewable content,5535.73754,0.339452211
Environment and Climate Change Canada,2015-16,fleet,1,Gasoline,31295.3676,2.005943648
Environment and Climate Change Canada,2015-16,fleet,1,Liquified petroleum gas,1.84763,0.000112445
Environment and Climate Change Canada,2015-16,fleet,1,Natural gas,0.001824,1.04E-07
Fisheries and Oceans Canada,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",46127.81415,3.293503011
Fisheries and Oceans Canada,2015-16,facilities,1,Liquified petroleum gas,10434.09812,0.636517088
Fisheries and Oceans Canada,2015-16,facilities,1,natural gas,90102.85729,4.491012777
Fisheries and Oceans Canada,2015-16,facilities,2,district energy,21153.46625,1.248054509
Fisheries and Oceans Canada,2015-16,facilities,2,electricity,254074.0752,12.29802933
Fisheries and Oceans Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22101.1682,1.58029354
Fisheries and Oceans Canada,2015-16,fleet,1,Fuels with renewable content,4484.00845,0.27197588
Fisheries and Oceans Canada,2015-16,fleet,1,Gasoline,73813.81,4.730410738
Fisheries and Oceans Canada,2015-16,fleet,1,Liquified petroleum gas,32.29556,0.001965474
Health Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",343.577044,0.024566692
Health Canada,2015-16,fleet,1,Fuels with renewable content,5181.355394,0.317721447
Health Canada,2015-16,fleet,1,Gasoline,24168.8776,1.548879784
"Immigration, Refugees and Citizenship Canada",2015-16,fleet,1,Gasoline,846.419,0.054243366
Indigenous Services Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41.15335,0.002942576
Indigenous Services Canada,2015-16,fleet,1,Fuels with renewable content,451.219087,0.006169276
Indigenous Services Canada,2015-16,fleet,1,Gasoline,5251.113,0.336521327
"Innovation, Science and Economic Development Canada",2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3856.0057,0.275714878
"Innovation, Science and Economic Development Canada",2015-16,fleet,1,Fuels with renewable content,2436.5396,0.146708811
"Innovation, Science and Economic Development Canada",2015-16,fleet,1,Gasoline,10542.245,0.675607301
National Defence,2015-16,facilities,1,aviation fuel,302489.5671,20.57576093
National Defence,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",762874.1053,54.84751435
National Defence,2015-16,facilities,1,Liquified petroleum gas,52605.99106,3.209152516
National Defence,2015-16,facilities,1,natural gas,5995492.644,298.8344086
National Defence,2015-16,facilities,2,district energy,35307,2.930304465
National Defence,2015-16,facilities,2,electricity,3314284.64,213.0495804
National Defence,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",240853.1135,17.04482329
National Defence,2015-16,fleet,1,Fuels with renewable content,77406.8337,4.740770804
National Defence,2015-16,fleet,1,Gasoline,145150.145,9.302207513
National Defence,2015-16,fleet,1,Liquified petroleum gas,1243.63216,0.075686146
Natural Resources Canada,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9935.9816,0.707298484
Natural Resources Canada,2015-16,facilities,1,Liquified petroleum gas,1911.9174,0.11663376
Natural Resources Canada,2015-16,facilities,1,natural gas,196004.1405,9.769469312
Natural Resources Canada,2015-16,facilities,2,district energy,44988.11819,3.605169791
Natural Resources Canada,2015-16,facilities,2,electricity,172605.7449,5.446177127
Natural Resources Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2696.309477,0.191916641
Natural Resources Canada,2015-16,fleet,1,Fuels with renewable content,956.885046,0.013082974
Natural Resources Canada,2015-16,fleet,1,Gasoline,8263.668,0.529583066
Parks Canada,2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",56514.10155,4.052623366
Parks Canada,2015-16,facilities,1,Liquified petroleum gas,35751.66227,2.180978528
Parks Canada,2015-16,facilities,1,natural gas,91253.39074,4.548359021
Parks Canada,2015-16,facilities,2,electricity,180527.5669,10.49952803
Parks Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",60852.69674,4.280930014
Parks Canada,2015-16,fleet,1,Fuels with renewable content,22853.20653,1.401361864
Parks Canada,2015-16,fleet,1,Gasoline,76883.66818,4.927144792
Parks Canada,2015-16,fleet,1,Liquified petroleum gas,909.6624073,0.055361098
Parks Canada,2015-16,fleet,1,Natural gas,0.22727952,1.30E-05
Public Services and Procurement Canada,2015-16,facilities,1,district energy,798450.05,55.86026
Public Services and Procurement Canada,2015-16,facilities,1,electricity,2896507,69.37008
Public Services and Procurement Canada,2015-16,facilities,1,natural gas,1031403.96,51.30062
Public Services and Procurement Canada,2015-16,facilities,2,"fuel oil (1,2,4,5,6, diesel, kerosene)",62915.77,4.43492
Public Services and Procurement Canada,2015-16,facilities,2,liquified petroleum gas,9705,0.59205
Public Services and Procurement Canada,2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3359.9441,0.240245127
