Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Environment and Climate Change Canada,2005-06,fleet,1,natural gas,0.084362804,4.78E-06
Environment and Climate Change Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4571.956043,0.320993578
Environment and Climate Change Canada,2005-06,facilities,2,electricity,103747.7354,6.129515899
Environment and Climate Change Canada,2005-06,fleet,1,fuels with renewable content,2646.582996,0.164243049
Environment and Climate Change Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1252.658296,0.089169343
Environment and Climate Change Canada,2005-06,facilities,1,natural gas,187604.4616,9.207468164
Environment and Climate Change Canada,2005-06,fleet,1,gasoline,58834.28986,3.931186874
Environment and Climate Change Canada,2005-06,facilities,1,liquified petroleum gas,1828.621879,0.108593946
Environment and Climate Change Canada,2005-06,fleet,1,liquified petroleum gas,465.4999113,0.028329846
Fisheries and Oceans Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",47849.8949,3.359504795
Fisheries and Oceans Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",23271.91788,1.66E+00
Fisheries and Oceans Canada,2005-06,facilities,2,district heating,19917.49683,1.175132629
Fisheries and Oceans Canada,2005-06,facilities,2,electricity,342827.2699,24.26839942
Fisheries and Oceans Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",129.369977,0.009663351
Fisheries and Oceans Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",93477.64653,6.654122376
Fisheries and Oceans Canada,2005-06,facilities,1,natural gas,72466.46139,3.585098172
Fisheries and Oceans Canada,2005-06,fleet,1,gasoline,119924.7112,7.938156042
Fisheries and Oceans Canada,2005-06,facilities,1,liquified petroleum gas,12732.29066,0.776862059
Fisheries and Oceans Canada,2005-06,fleet,1,liquified petroleum gas,279.169288,0.016989945
Health Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",279.2414331,0.01960533
Health Canada,2005-06,facilities,2,district cooling,47165.56962,2.489432578
Health Canada,2005-06,facilities,2,district heating,10166.20027,0.982054846
Health Canada,2005-06,facilities,2,district heating,122923.2921,9.329877129
Health Canada,2005-06,facilities,2,electricity,110051.6113,6.094155336
Health Canada,2005-06,facilities,1,natural gas,36154.45887,1.771033727
Health Canada,2005-06,fleet,1,gasoline,24031.34485,1.590703865
"Immigration, Refugees and Citizenship Canada",2005-06,fleet,1,gasoline,1392.322128,0.092161819
Indigenous Services Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5.744999558,0.000410783
Indigenous Services Canada,2005-06,facilities,2,electricity,16174.08256,0.430645623
Indigenous Services Canada,2005-06,fleet,1,fuels with renewable content,55.04581943,0.003242033
Indigenous Services Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",26.44173169,0.001882232
Indigenous Services Canada,2005-06,facilities,1,natural gas,65.19505167,0.003194075
Indigenous Services Canada,2005-06,fleet,1,gasoline,33886.85663,2.243068829
Indigenous Services Canada,2005-06,facilities,1,liquified petroleum gas,3.189060017,1.95E-04
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",63.96329927,0.004490814
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,natural gas,0.25546062,1.45E-05
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4205.76181,0.300723398
"Innovation, Science and Economic Development Canada",2005-06,facilities,2,electricity,12689.04383,0.810688885
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,fuels with renewable content,698.3410187,0.04302346
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2034.064814,0.144793055
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,natural gas,3623.886724,0.177582631
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,gasoline,21414.62756,1.417495949
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,liquified petroleum gas,2.119459882,0.000129319
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,liquified petroleum gas,93.01424885,0.005660748
Library and Archives Canada,2005-06,facilities,2,electricity,44443.08849,0.707735549
Library and Archives Canada,2005-06,facilities,1,natural gas,45288.1174,2.22E+00
National Battlefields Commission,2005-06,facilities,2,electricity,5677.466289,0.005992881
National Battlefields Commission,2005-06,facilities,1,natural gas,2754.451593,0.134905485
National Battlefields Commission,2005-06,facilities,1,liquified petroleum gas,58.4407711,0.00356577
National Defence,2005-06,facilities,1,aviation fuel,386973.2299,26.5805435
National Defence,2005-06,fleet,1,fuels with renewable content,16128.31198,1.028324476
National Defence,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",140219.942,9.844737649
National Defence,2005-06,facilities,2,district cooling,3699.998962,0.170005349
National Defence,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",242949.5954,17.36838208
National Defence,2005-06,facilities,2,district heating,50865.99414,4.243763214
National Defence,2005-06,facilities,2,electricity,3540071.842,327.3762529
National Defence,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",870579.0069,65.02828694
National Defence,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",295710.4736,21.04988425
National Defence,2005-06,facilities,1,natural gas,5844417.845,288.2959735
National Defence,2005-06,fleet,1,gasoline,373573.3517,24.73108118
National Defence,2005-06,facilities,1,liquified petroleum gas,48244.3536,2.943634349
National Defence,2005-06,fleet,1,liquified petroleum gas,2969.241993,0.180705027
National Research Council Canada,2005-06,facilities,1,aviation fuel,3805.525024,0.26139506
National Research Council Canada,2005-06,fleet,1,aviation fuel,280.9310513,0.020513922
National Research Council Canada,2005-06,fleet,1,aviation fuel,13198.22986,0.910129921
National Research Council Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",837.6125183,0.058808144
National Research Council Canada,2005-06,facilities,2,district cooling,17458.99597,0.827556408
National Research Council Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",385.2863846,0.027549849
National Research Council Canada,2005-06,facilities,2,district heating,65903.49463,5.650840759
National Research Council Canada,2005-06,facilities,2,electricity,392800.722,24.10881955
National Research Council Canada,2005-06,fleet,1,fuels with renewable content,3399.841522,0.209458242
National Research Council Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21433.94903,1.525755801
National Research Council Canada,2005-06,facilities,1,natural gas,801863.8292,39.29636879
National Research Council Canada,2005-06,fleet,1,gasoline,1809.639816,0.119785233
National Research Council Canada,2005-06,facilities,1,liquified petroleum gas,5957.821991,0.363517048
National Research Council Canada,2005-06,fleet,1,liquified petroleum gas,0,0
